	lig	adj_sint
faktisk	virkelig	adj_sint
falsk	falsk	adj_sint
falsk	usann	adj_sint
fanatisk	helfrelst	adj_sint
fantasilös	fantasiløs	adj_sint
fantastisk	fantastisk	adj_sint
farlig	farlig	adj_sint
fast	fast	adj_sint
fatal	fatal	adj_sint
fattig	fattig	adj_sint
feberfri	feberfri	adj_sint
feg	feig	adj_sint
felfri	feilfri	adj_sint
femårig	femårig	adj_sint
feministisk	feministisk	adj_sint
festlig	festlig	adj_sint
fiktiv	fiktiv	adj_sint
filologisk	filologisk	adj_sint
fin	fin	adj_sint
fin	fullgod	adj_sint
fin	grei	adj_sint
final	final	adj_sint
finsk	finsk	adj_sint
fisig	dårlig	adj_sint
fisig	vond	adj_sint
flamsk	flamsk	adj_sint
flyttbar	flyttbar	adj_sint
fläskig	feit	adj_sint
fläskig	fet	adj_sint
flådig	flott	adj_sint
folklig	folkelig	adj_sint
folkskygg	folkesky	adj_sint
formell	formell	adj_sint
formidabel	formidabel	adj_sint
framkomlig	fremkommelig	adj_sint
framliden	avdød	adj_sint
fransk	fransk	adj_sint
fredlig	fredelig	adj_sint
frejdad	berømmelig	adj
frejdad	berømt	adj
frenetisk	hektisk	adj_sint
fri	fri	adj_sint
fridsam	fredelig	adj_sint
friktionsfri	friksjonsfri	adj_sint
frisk	frisk	adj_sint
frisk	sprek	adj_sint
frivillig	frivillig	adj_sint
frodig	frodig	adj_sint
from	from	adj_sint
frostfri	frostfri	adj_sint
frostig	frossen	adj_sint
fruktansvärd	fryktelig	adj_sint
fruktbar	fruktbar	adj_sint
fruktsam	fruktbar	adj_sint
frusen	frossen	adj_sint
främmande	fremmed	adj
främre	fremre	adj_sint
fuktig	fuktig	adj_sint
ful	stygg	adj_sint
full	full	adj_sint
fullkomlig	fullkommen	adj_sint
fullkomlig	fullstendig	adj_sint
fullständig	fullstendig	adj_sint
fulltalig	fulltallig	adj_sint
fundamental	fundamental	adj_sint
fysikalisk	fysisk	adj_sint
fysiologisk	fysiologisk	adj_sint
fysisk	fysisk	adj_sint
färdig	ferdig	adj_sint
färglös	fargeløs	adj_sint
färgrik	fargerik	adj_sint
få	få	adj_sint
förarlös	førerløs	adj_sint
fördomsfri	fordomsfri	adj_sint
förebildlig	forbilledlig	adj_sint
föredömlig	forbilledlig	adj_sint
förfallen	forfallen	adj_sint
förfärlig	forferdelig	adj_sint
förnuftig	fornuftig	adj_sint
förnämlig	fornem	adj_sint
förnöjd	fornøyd	adj_sint
förnöjsam	fornøyd	adj_sint
försiktig	forsiktig	adj_sint
förståelig	forståelig	adj_sint
förståndig	vettig	adj_sint
försumlig	forsømmelig	adj_sint
försvarlig	forsvarlig	adj_sint
försåtlig	lur	adj_sint
förtjänt	fortjent	adj_sint
förtrogen	fortrolig	adj_sint
förtrolig	fortrolig	adj_sint
förtänksam	omtenksom	adj_sint
förunderlig	forunderlig	adj_sint
gammal	gammel	adj_sint
gammalmodig	gammeldags	adj_sint
gemen	alminnelig	adj_sint
gemensam	felles	adj_sint
gemytlig	gemeinslig	adj_sint
gemytlig	gemenslig	adj_sint
gen	kort	adj_sint
gen	rett	adj_sint
generell	generell	adj_sint
genetisk	genetisk	adj_sint
genial	genial	adj_sint
genialisk	genial	adj_sint
genomsnittlig	gjennomsnittlig	adj_sint
geografisk	geografisk	adj_sint
gift	gift	adj_sint
giftfri	giftfri	adj_sint
giftig	giftig	adj_sint
gigantisk	gigantisk	adj_sint
gill	gyldig	adj_sint
giltig	gyldig	adj_sint
glad	glad	adj_sint
glad	lykkelig	adj_sint
gladelig	gledelig	adj_sint
glamourös	glamorøs	adj_sint
global	global	adj_sint
glutenfri	glutenfri	adj_sint
glåmig	blek	adj_sint
gnällig	misfornøyd	adj_sint
god	bra	adj_sint
god	god	adj_sint
god	ram	adj_sint
godmodig	godmodig	adj_sint
godvillig	godvillig	adj_sint
gracil	spinkel	adj_sint
grammatikalisk	grammatisk	adj_sint
grammatisk	grammatisk	adj_sint
gratis	gratis	adj_sint
gravid	gravid	adj_sint
grekisk	gresk	adj_sint
grotesk	grotesk	adj_sint
grov	grov	adj_sint
grov	røff	adj_sint
grund	grunn	adj_sint
grundlig	grundig	adj_sint
grundläggande	grunnleggende	adj
grundlös	grunnløs	adj_sint
gruvlig	gruelig	adj_sint
grym	grusom	adj_sint
grå	grå	adj_sint
gråblå	gråblå	adj_sint
grön	grønn	adj_sint
gudomlig	guddommelig	adj_sint
gul	gul	adj_sint
gunstig	gunstig	adj_sint
gynnsam	gunstig	adj_sint
gästfri	gjestfri	adj_sint
gående	gående	adj
habil	habil	adj_sint
hal	glatt	adj_sint
halkig	glatt	adj_sint
halv	halv	adj_sint
harmonisk	harmonisk	adj_sint
havande	gravid	adj
hederlig	hederlig	adj_sint
hedersam	hederlig	adj_sint
hektisk	hektisk	adj_sint
hel	hel	adj_sint
helig	hellig	adj_sint
hemlig	hemmelig	adj_sint
hemlös	hjemløs	adj_sint
hemmastadd	hjemmevant	adj_sint
hemsk	forferdelig	adj_sint
hemsk	fæl	adj_sint
hemsk	skrekkelig	adj_sint
hemsk	uhyggelig	adj_sint
hemtam	hjemmevant	adj_sint
hemvävd	hjemmevevd	adj_sint
het	het	adj_sint
hetsig	amper	adj_sint
himmelsk	himmelsk	adj_sint
historisk	historisk	adj_sint
hjälplös	hjelpeløs	adj_sint
hjärndöd	hjernedød	adj_sint
hjärtlig	hjertelig	adj_sint
hjärtnupen	følsom	adj_sint
holländsk	hollandsk	adj_sint
finländsk	finlandsk	adj_sint
holländsk	nederlandsk	adj_sint
homogen	homogen	adj_sint
hopplös	håpløs	adj_sint
hormonell	hormonell	adj_sint
horribel	horribel	adj_sint
hugnesam	gledelig	adj_sint
human	human	adj_sint
humanistisk	humanistisk	adj_sint
humanitär	humanitær	adj_sint
humoristisk	humoristisk	adj_sint
hungrig	sulten	adj_sint
hurtig	fort	adj_sint
hurtig	hurtig	adj_sint
hurtig	kjapp	adj_sint
hydraulisk	hydraulisk	adj_sint
hygienisk	hygienisk	adj_sint
hysterisk	hysterisk	adj_sint
häftig	heftig	adj_sint
händelserik	begivenhetsrik	adj_sint
hänsynslös	hensynsløs	adj_sint
härlig	herlig	adj_sint
hård	hard	adj_sint
hård	tøff	adj_sint
hög	høy	adj_sint
högdragen	viktig	adj_sint
höger	høyre	adj
högljudd	høylytt	adj_sint
högtidlig	høytidelig	adj_sint
högvuxen	høy	adj_sint
högväxt	høy	adj_sint
hörbar	hørbar	adj_sint
höstlig	høstlig	adj_sint
ideal	ideell	adj_sint
idealisk	ideell	adj_sint
ideell	ideell	adj_sint
identisk	identisk	adj_sint
ideologisk	ideologisk	adj_sint
idiotisk	idiotisk	adj_sint
idyllisk	idyllisk	adj_sint
imperialistisk	imperialistisk	adj_sint
inaktuell	uaktuell	adj_sint
indirekt	indirekte	adj_sint
indisk	indisk	adj_sint
individuell	individuell	adj_sint
indonesisk	indonesisk	adj_sint
industriell	industriell	adj_sint
informativ	informativ	adj_sint
inhemsk	innenlandsk	adj_sint
inkorrekt	ukorrekt	adj_sint
innerlig	inderlig	adj_sint
innerlig	innstendig	adj_sint
innovativ	innovativ	adj_sint
inofficiell	uoffisiell	adj_sint
inrikes	innariks	adj
inrikes	innenriks	adj
intakt	intakt	adj_sint
intensiv	intensiv	adj_sint
interaktiv	interaktiv	adj_sint
interimistisk	foreløpig	adj_sint
intern	intern	adj_sint
internationell	internasjonal	adj_sint
intim	intim	adj_sint
intressant	interessant	adj_sint
ironisk	ironisk	adj_sint
isfri	isfri	adj_sint
isig	iskald	adj_sint
iskall	iskald	adj_sint
islamisk	islamittisk	adj_sint
islamisk	islamsk	adj_sint
isländsk	islandsk	adj_sint
israelisk	israelsk	adj_sint
istadig	sta	adj_sint
italiensk	italiensk	adj_sint
ivrig	ivrig	adj_sint
japansk	japansk	adj_sint
jolmig	emmen	adj_sint
jolmig	vammel	adj_sint
jordisk	jordisk	adj_sint
judisk	jødisk	adj_sint
juridisk	juridisk	adj_sint
juridisk	lovlig	adj_sint
jäklig	lei	adj_sint
jämförbar	sammenlignbar	adj_sint
jämn	flat	adj_sint
jämn	flau	adj_sint
jämn	flå	adj_sint
jämnårig	jevnaldrende	adj_sint
jämnårig	jevngammel	adj_sint
jämställd	lik	adj_sint
kal	bar	adj_sint
kall	kald	adj_sint
kalorifattig	kalorifri	adj_sint
kanadensisk	canadisk	adj_sint
kapitalistisk	kapitalistisk	adj_sint
karakteristisk	karakteristisk	adj_sint
katastrofal	katastrofal	adj_sint
kategorisk	kategorisk	adj_sint
katolsk	katolsk	adj_sint
kavat	kjekk	adj_sint
